name,games,gameStarted,minPlayed,fieldGoals,fieldGoalsAttemp,fieldGoalsPerc,point2_Goals,point2_Attemp,point2_Perc,point3_Goals,point3_Attemp,point3_Perc,freeThrows,freeThrowsAttemp,freeThrowsPerc,offensRebounds,deffensRebounds,draft
Akil Butler,111.0,81.0,18.1,1.6,4.4,0.372,1.4,3.4,0.408,0.2,1.0,0.248,0.9,1.6,0.568,1.3,2.1,0
Akil Mitchell,133.0,87.0,23.8,2.7,5.2,0.519,2.7,5.1,0.526,0.0,0.1,0.091,1.4,2.5,0.571,1.7,4.3,0
Akim Mitchell,128.0,98.0,22.2,2.3,4.7,0.481,1.8,3.5,0.519,0.5,1.3,0.375,1.3,1.7,0.804,1.4,2.4,0
Akin Akingbala,105.0,49.0,18.3,2.7,4.6,0.588,2.7,4.6,0.588,0.0,0.0,0.5,1.4,2.7,0.535,2.0,3.2,0
Akini Akini,92.0,43.0,19.8,2.3,5.0,0.457,2.3,4.8,0.468,0.0,0.2,0.167,1.3,2.1,0.609,1.6,2.6,0
Ako Adams,129.0,92.0,23.9,2.6,7.0,0.372,0.9,2.2,0.387,1.8,4.8,0.365,1.7,2.0,0.862,0.2,1.8,0
Akok Akok,45.0,30.0,21.4,1.9,4.3,0.436,1.4,2.8,0.484,0.5,1.5,0.343,0.5,1.0,0.522,1.2,3.3,0
Akol Arop,35.0,3.0,9.0,0.9,1.8,0.5,0.8,1.5,0.529,0.1,0.3,0.364,0.4,0.7,0.583,0.6,1.7,0
Akolda Manyang,56.0,25.0,15.5,3.1,5.2,0.602,3.1,5.2,0.602,0.0,0.0,0.667,2.2,3.1,0.688,1.8,3.6,0
Akosa Maduegbunam,14.0,0.0,3.8,0.1,0.9,0.167,0.1,0.3,0.5,0.0,0.6,0.0,0.1,0.3,0.5,0.2,0.4,0
Akoy Agau,100.0,17.0,11.3,1.0,2.1,0.493,0.9,1.7,0.534,0.1,0.3,0.258,1.2,1.6,0.741,0.9,2.0,0
